,name,mean,sigma
0,B.Maher,8.764705882352942,6.1407933168731255
1,D.Carlson,8.117647058823529,4.957256747805969
2,J.Tucker,8.058823529411764,4.385411486968424
3,T.Bass,7.882352941176471,5.301302314372734
4,J.Myers,7.882352941176471,4.535900623213412
5,E.Pineiro,7.764705882352941,4.832846095633818
6,G.Gano,7.647058823529412,5.268565788440724
7,N.Folk,7.647058823529412,6.833663873627108
8,Y.Koo,7.294117647058823,5.409846207255726
9,G.Zuerlein,7.117647058823529,5.411125281917708
10,C.McLaughlin,7.0588235294117645,5.865859229326076
11,K.Fairbairn,7.0,4.029304421069108
12,R.Succop,6.9411764705882355,4.856415868364775
13,R.Patterson,6.9411764705882355,4.331425362942375
14,E.McPherson,6.882352941176471,4.535900623213412
15,J.Sanders,6.823529411764706,3.7766355104175346
16,R.Gould,6.823529411764706,4.755619513272409
17,M.Gay,6.823529411764706,4.604796656654336
18,B.McManus,6.647058823529412,4.405092994552719
19,G.Joseph,6.470588235294118,5.203139855881407
20,C.York,6.176470588235294,4.032738000235908
21,J.Slye,5.823529411764706,4.889788809557742
22,W.Lutz,5.764705882352941,4.291296414079877
23,C.Santos,5.705882352941177,5.255414080986364
24,M.Badgley,5.588235294117647,5.477857283210737
25,J.Elliott,5.470588235294118,3.867171744445553
26,M.Crosby,5.411764705882353,4.073715221924891
27,H.Butker,5.117647058823529,4.921529567847503
28,M.Prater,4.764705882352941,5.17379610054024
29,C.Dicker,4.470588235294118,4.499903882095359
30,C.Boswell,4.0588235294117645,4.556450995538137
31,M.Wright,3.9411764705882355,5.734011923039925
32,R.Bullock,3.764705882352941,3.670701355722987
33,D.Hopkins,2.2941176470588234,3.9669918353146745
34,A.Seibert,1.2352941176470589,2.921108004220032
35,R.Blankenship,1.0588235294117647,2.919923210821378
36,M.Ammendola,1.0588235294117647,2.312894500157353
37,T.Bertolet,0.8823529411764706,2.8673076722244564
38,T.Vizcaino,0.5882352941176471,2.3529411764705883
39,C.Shudak,0.5294117647058824,2.11764705882353
40,N.Sciba,0.4117647058823529,1.6470588235294115
41,D.Eberle,0.35294117647058826,1.411764705882353
42,J.Lambo,0.17647058823529413,0.7058823529411765
43,M.Wishnowsky,0.058823529411764705,0.23529411764705885
44,J.Reid,0.058823529411764705,0.23529411764705885
45,M.Dickson,0.0,0.0
46,C.Bojorquez,0.0,0.0
47,R.Ahmed,0.0,0.0
48,R.Stonehouse,0.0,0.0
49,L.Cooke,0.0,0.0
50,S.Martin,0.0,0.0
51,J.Scott,0.0,0.0
52,T.Morstead,0.0,0.0
53,J.Gillan,0.0,0.0
54,J.Fox,0.0,0.0
55,T.Gill,0.0,0.0
56,E.Benjamin,0.0,0.0
57,A.Siposs,0.0,0.0
58,T.Way,0.0,0.0
59,B.Mann,0.0,0.0
60,R.Dixon,0.0,0.0
61,J.Camarda,0.0,0.0
62,B.Pinion,0.0,0.0
63,J.Bailey,0.0,0.0
64,J.Hekker,0.0,0.0
