,player_display_name,position,fantasy_points_ppr
0,J.Tucker,K,0
1,J.Tucker,K,6
2,J.Tucker,K,10
3,J.Tucker,K,9
4,J.Tucker,K,11
5,J.Tucker,K,16
6,J.Tucker,K,7
7,J.Tucker,K,13
8,J.Tucker,K,8
9,J.Tucker,K,10
10,J.Tucker,K,0
11,J.Tucker,K,7
12,J.Tucker,K,14
13,J.Tucker,K,4
14,J.Tucker,K,11
15,J.Tucker,K,3
16,J.Tucker,K,8
17,G.Zuerlein,K,0
18,G.Zuerlein,K,3
19,G.Zuerlein,K,9
20,G.Zuerlein,K,18
21,G.Zuerlein,K,6
22,G.Zuerlein,K,8
23,G.Zuerlein,K,8
24,G.Zuerlein,K,12
25,G.Zuerlein,K,4
26,G.Zuerlein,K,10
27,G.Zuerlein,K,0
28,G.Zuerlein,K,4
29,G.Zuerlein,K,8
30,G.Zuerlein,K,20
31,G.Zuerlein,K,4
32,G.Zuerlein,K,4
33,G.Zuerlein,K,3
34,B.Mann,K,0
35,B.Mann,K,0
36,B.Mann,K,0
37,B.Mann,K,0
38,B.Mann,K,0
39,B.Mann,K,0
40,B.Mann,K,0
41,B.Mann,K,0
42,B.Mann,K,0
43,B.Mann,K,0
44,B.Mann,K,0
45,B.Mann,K,0
46,B.Mann,K,0
47,B.Mann,K,0
48,B.Mann,K,0
49,B.Mann,K,0
50,B.Mann,K,0
51,M.Gay,K,0
52,M.Gay,K,6
53,M.Gay,K,7
54,M.Gay,K,9
55,M.Gay,K,9
56,M.Gay,K,3
57,M.Gay,K,6
58,M.Gay,K,0
59,M.Gay,K,2
60,M.Gay,K,7
61,M.Gay,K,5
62,M.Gay,K,10
63,M.Gay,K,5
64,M.Gay,K,14
65,M.Gay,K,6
66,M.Gay,K,8
67,M.Gay,K,19
68,T.Bass,K,0
69,T.Bass,K,8
70,T.Bass,K,12
71,T.Bass,K,4
72,T.Bass,K,11
73,T.Bass,K,7
74,T.Bass,K,6
75,T.Bass,K,0
76,T.Bass,K,10
77,T.Bass,K,6
78,T.Bass,K,13
79,T.Bass,K,23
80,T.Bass,K,10
81,T.Bass,K,7
82,T.Bass,K,9
83,T.Bass,K,6
84,T.Bass,K,2
85,C.York,K,0
86,C.York,K,16
87,C.York,K,6
88,C.York,K,5
89,C.York,K,9
90,C.York,K,2
91,C.York,K,12
92,C.York,K,8
93,C.York,K,7
94,C.York,K,0
95,C.York,K,5
96,C.York,K,4
97,C.York,K,6
98,C.York,K,11
99,C.York,K,4
100,C.York,K,6
101,C.York,K,4
102,E.Pineiro,K,0
103,E.Pineiro,K,6
104,E.Pineiro,K,10
105,E.Pineiro,K,12
106,E.Pineiro,K,6
107,E.Pineiro,K,9
