player_display_name,position,n_games,mu,sigma,wpa,war
Austin Ekeler,RB,16,22.73125,8.369044,0.24069103606039,3.85105657696624
Christian McCaffrey,RB,16,21.21625,8.45776,0.2207338725196989,3.5317419603151823
Justin Jefferson,WR,16,22.55375,11.495086,0.21059546505764637,3.369527440922342
Travis Kelce,TE,16,19.15625,7.5899577,0.2083972740157487,3.334356384251979
Josh Jacobs,RB,16,20.08125,11.60599,0.20537307562671436,3.28596921002743
Patrick Mahomes,QB,16,25.151249,5.9773445,0.1811836946398555,2.898939114237688
Tyreek Hill,WR,16,21.05625,8.94371,0.17850493788023325,2.856079006083732
Jalen Hurts,QB,14,26.398573,5.8557005,0.20286471120613414,2.840105956885878
Davante Adams,WR,16,20.2,11.897794,0.16978677677601084,2.7165884284161734
Derrick Henry,RB,15,19.264,8.395094,0.17785291485559696,2.667793722833954
Josh Allen,QB,15,24.917336,6.5468364,0.17526103763941547,2.628915564591232
Saquon Barkley,RB,16,17.75,7.281913,0.14713463269970295,2.354154123195247
Stefon Diggs,WR,15,19.546669,10.035793,0.14944702146373157,2.2417053219559735
Joe Burrow,QB,15,22.606665,6.8116517,0.1350624613755027,2.0259369206325406
A.J. Brown,WR,16,17.88125,9.275925,0.11833755921832001,1.8934009474931202
Joe Mixon,RB,13,17.053846,11.694878,0.14515951774194824,1.8870737306453271
CeeDee Lamb,WR,16,17.8375,8.653892,0.11646462430886062,1.86343398894177
Cooper Kupp,WR,9,22.377777,8.639415,0.20136287098828753,1.8122658388945878
Nick Chubb,RB,16,16.1375,7.0239654,0.11307548607130347,1.8092077771408555
Tony Pollard,RB,15,16.460001,9.784056,0.12039984014666294,1.8059976021999442
Ja'Marr Chase,WR,11,19.981817,8.435512,0.15829801708421565,1.7412781879263721
T.J. Hockenson,TE,16,13.300001,9.933529,0.1049438955282821,1.6791023284525135
Amon-Ra St. Brown,WR,15,17.113333,9.960781,0.1105674245473639,1.6585113682104584
Aaron Jones,RB,16,15.05,7.900554,0.09869084992928889,1.5790535988686223
Mark Andrews,TE,15,12.7,8.727963,0.09569398082037361,1.4354097123056042
Leonard Fournette,RB,15,14.98,7.5644965,0.0953857776394218,1.430786664591327
Rhamondre Stevenson,RB,16,14.74375,7.597365,0.08840637388836292,1.4145019822138067
Dalvin Cook,RB,16,14.69375,6.829849,0.08260960130205919,1.321753620832947
Tee Higgins,WR,13,16.861538,6.3468394,0.10092117813512824,1.3119753157566671
George Kittle,TE,14,12.971428,8.735022,0.09119187974934517,1.2766863164908324
Jaylen Waddle,WR,16,15.55625,9.855327,0.07885008892790113,1.261601422846418
James Conner,RB,13,15.4,6.1186976,0.09692554923317476,1.2600321400312717
Justin Fields,QB,15,19.731998,10.253207,0.0823381083680601,1.2350716255209016
Alvin Kamara,RB,14,14.264284,9.529024,0.0822009057882922,1.1508126810360908
Miles Sanders,RB,16,13.337501,8.965062,0.06997081259691584,1.1195330015506535
DeVonta Smith,WR,16,15.05625,8.511682,0.0620985598214886,0.9935769571438176
Mike Evans,WR,15,15.026667,10.963969,0.0659660171387465,0.9894902570811975
Amari Cooper,WR,16,14.93125,8.516874,0.059983724664279814,0.959739594628477
Evan Engram,TE,16,10.637501,9.025511,0.05792382493347292,0.9267811989355668
D'Andre Swift,RB,13,13.5,7.2796874,0.07086145168853297,0.9211988719509286
Najee Harris,RB,16,13.091249,4.879667,0.05698319984524225,0.911731197523876
DeAndre Hopkins,WR,9,16.855556,8.137583,0.09831156229647431,0.8848040606682688
Kenneth Walker,RB,14,13.507142,7.755133,0.06069997726402043,0.8497996816962861
Chris Godwin,WR,14,15.235715,5.6102724,0.06055979291888125,0.8478371008643375
Tyler Lockett,WR,15,14.926667,6.9075284,0.055938495621949746,0.8390774343292462
Breece Hall,RB,7,16.442858,5.4071007,0.11848995987559097,0.8294297191291368
Lamar Jackson,QB,12,19.673334,11.001983,0.06824592427870468,0.8189510913444562
Jamaal Williams,RB,16,12.918751,7.923164,0.04843883369050972,0.7750213390481555
Ezekiel Elliott,RB,14,13.200002,4.303487,0.05268551283577705,0.7375971797008787
Dallas Goedert,TE,11,11.872727,5.0320954,0.06447233927455853,0.7091957320201439
Jonathan Taylor,RB,11,13.309092,7.8917046,0.06225102331122445,0.684761256423469
Daniel Jones,QB,16,18.0625,6.935856,0.041826055794950356,0.6692168927192057
Dameon Pierce,RB,13,12.800001,6.1891966,0.049923662973033966,0.6490076186494416
Zach Ertz,TE,10,11.559999,4.269239,0.06490048149830929,0.6490048149830929
Geno Smith,QB,16,18.14125,5.6158237,0.038626928278709505,0.6180308524593521
Pat Freiermuth,TE,14,10.585715,3.8607657,0.04180553623832228,0.585277507336512
Trevor Lawrence,QB,16,17.84,7.9699745,0.03592955841731449,0.5748729346770318
Keenan Allen,WR,9,14.866667,5.7176137,0.06365932861355172,0.5729339575219655
Brandon Aiyuk,WR,16,13.61875,6.450312,0.035096316613672074,0.5615410658187532
Travis Etienne,RB,16,12.35625,7.536243,0.034491990182096366,0.5518718429135419
Christian Kirk,WR,16,13.875,7.9400487,0.03427766966112622,0.5484427145780195
DK Metcalf,WR,16,13.737499,6.9115734,0.032876084132441474,0.5260173461190636
Mike Williams,WR,12,14.108334,8.17939,0.043235502085930966,0.5188260250311716
Jerick McKinnon,RB,16,11.73125,9.667001,0.031567435661510546,0.5050789705841687
David Montgomery,RB,15,11.706667,6.289936,0.032046764779209425,0.48070147168814137
Kyler Murray,QB,11,18.229092,6.912362,0.043696358266994695,0.48065994093694164
Michael Pittman,WR,15,13.633334,6.825019,0.03174246116946877,0.4761369175420316
Terry McLaurin,WR,16,13.2875,5.3861947,0.029335925059714385,0.46937480095543016
Marquise Brown,WR,11,14.027273,6.4724717,0.04229645667194126,0.4652610233913539
